"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
60,73556.0313218394,"Successful completion",0.000535112483741456,0.999999772970121,0.9999838355631,4.11975128111105,0.12295359124155,0.0489728467325663,3.00726755416491e-05,0.00231510295700229,2.4864518787388
61,151260.844026563,"Successful completion",0.00982145889777651,0.982403525425149,0.876962823307732,2.36653569853334,0.00423304023764385,0.151712951096759,4.5250299669796e-05,0.00209111702134028,2.49855790993816
62,64405.2796708066,"Successful completion",0.000907993767883207,0.466899629660251,0.334484138581032,0.778773395511967,0.0806990820689582,0.0225162530639324,3.18093852177542e-05,0.00229539435411337,2.49643032671955
63,68183.4961442378,"Successful completion",7.45792790741445e-05,0.489106791245615,0.977167315293394,3.67169049949191,0.834588684743256,0.0142296895474559,2.70992640648244e-05,0.00236809364427983,2.47638037251948
64,58992.2355009005,"Successful completion",1.82318192268037e-08,0.234330554854181,0.924633961721427,3.51955536043382,0.0835593832421178,0.017737222907898,3.19136117683972e-05,0.00228350217819136,2.49787594016783
65,91668.0416564862,"Successful completion",0.00318880061159048,0.631755942583787,0.73711942999413,2.75752322796634,0.00940058279273604,0.14885068205609,4.10205379123345e-05,0.00213093702343887,2.4970555198386
66,57208.7411790296,"Successful completion",0.000867238047342887,0.963042644569402,0.998839322432283,3.69351457452548,0.068854649242302,0.013910766455665,3.33242628238153e-05,0.00224966311748278,2.49785409211613
67,93890.1630010991,"Successful completion",0.00295841391649467,0.543936655945372,0.995838787726752,3.57540857823924,0.0106721722061075,0.173033543261177,4.06818726685252e-05,0.00213065222099508,2.49623213083954
68,59052.8673600188,"Successful completion",0.00092266780988636,0.955760426525784,0.518107931613134,2.03508310293496,0.0738909052954929,0.0178496701438421,3.2203755099713e-05,0.00227493554258332,2.49704767376481
69,55530.3935272916,"Successful completion",0.000863668503989469,0.765230790304022,0.997374698260493,3.80658868004817,0.0675906121979408,0.0229127918257065,3.27788080730837e-05,0.00226564675955012,2.49663423101457
70,95033.3980623938,"Successful completion",0.00134192845248173,0.0468866411144763,0.253435956916711,0.000516980197886225,0.0203236878509343,0.199903803618046,3.89763480244877e-05,0.0021534106580571,2.51150583727742
71,63147.7468318309,"Successful completion",0.000998047906827377,0.854824243192415,0.260637311846618,0.336408946043861,0.0615513315883816,0.0180219861267088,3.32293942342316e-05,0.00225569087259401,2.49755122364967
72,148865.644816952,"Successful completion",0.00980028921877553,0.899401902293493,0.808274240791625,2.18122043100556,0.00343895291681908,0.196524282317052,4.56392302588776e-05,0.00208316734517972,2.49849826316597
73,59218.7866641727,"Successful completion",0.000357230481185059,0.355753573761937,0.639536164984108,2.51907712881997,0.105813976750013,0.016609777223207,3.06937400684113e-05,0.0023124115786154,2.49684122063505
74,341066.22872949,"Successful completion",0.000258009968710185,0.990343103862667,4.61053338407685e-08,38848.1828122503,0.0358745126091035,0.199943813141177,3.53034281566651e-05,0.00220267197510674,2.48387849041181
75,85848.6351776452,"Successful completion",8.23452498148233e-05,0.0593361952708641,0.273360517612192,0.344138543905176,0.244305663811845,0.0606820227234848,2.88637778509734e-05,0.00233049315352998,2.52539930942425
76,83814.4687512601,"Successful completion",0.00314080354588906,0.94299207980567,0.61098848971267,2.2103412712379,0.0149172623129725,0.0886754167974935,3.99495839111298e-05,0.002133684630989,2.49704370463168
77,58936.9914328599,"Successful completion",0.000448140506216383,0.999788487513871,0.903151239554676,3.63555253064322,0.103237736281767,0.0109169332515276,3.12113325128827e-05,0.00228943299849346,2.49746422078728
78,68766.6155148949,"Successful completion",1.0934132767105e-05,0.0549513069895868,0.915182954066727,3.39302018649651,0.0508329842204801,0.0788765553341335,3.45085439755328e-05,0.00223388439410387,2.50821746229457
79,89797.4452297668,"Successful completion",0.00293341245390595,0.642514261489663,0.534469838432668,1.98277813057141,0.0129108638670003,0.133099535666804,4.00721254714405e-05,0.00213854924449761,2.49637255999391
80,130841.667019426,"Successful completion",0.00774161015645582,0.831065658152465,0.984852388936275,2.79336520191605,0.0055480003338772,0.120039641980941,4.43554136281638e-05,0.00208007510968623,2.49853538922263
81,96245.1818812022,"Successful completion",0.00352088647393148,0.972842989229918,0.981210248186821,3.47121947996879,0.00638140291923709,0.199295513581429,4.17996906682842e-05,0.00211426147380309,2.49714735931428
82,94611.9346586546,"Successful completion",0.00351607088275916,0.974804566476356,0.934076920671675,3.34243309866302,0.00696447645974988,0.177069819784268,4.172051816893e-05,0.00211450992678406,2.49723327168229
83,56535.8099187523,"Successful completion",0.000441903774147765,0.470194526092734,0.883152512377573,3.41207878242232,0.083485244792073,0.0151285850561172,3.1764893098698e-05,0.00228765857490105,2.49751400375237
84,91430.8572749698,"Successful completion",0.00340314015290536,0.900810442857022,0.928916628191,3.30903086785565,0.00835479071387962,0.143370378904637,4.14150118694735e-05,0.00211792724613409,2.4973378572922
85,56450.4137523006,"Successful completion",0.000478108337056313,0.273139919101989,0.992329628337713,3.70451391041207,0.0688961428654748,0.0258082764669229,3.26269902958254e-05,0.00227000379699286,2.49718222732316
86,154946.820428568,"Successful completion",0.00999995764615955,0.695532017972358,0.976451866716557,2.61547332729568,0.00363827277732939,0.185375583823902,4.57580124653124e-05,0.00208003182862592,2.49855630389062
87,59456.9624691839,"Successful completion",0.000974591968767161,0.981359170649255,0.535095032609245,2.23211718870969,0.0683281729066807,0.0247217196507514,3.27454019623762e-05,0.00226472593904668,2.49620734414939
88,79028.8536719985,"Successful completion",0.000111737047803384,0.980224594649831,0.357950325918105,1.04392489117821,0.837930892344313,0.0122979118748989,2.68251216061639e-05,0.00238577282379574,2.4768661725811
89,80147.2278639663,"Successful completion",9.32728466522324e-05,0.895097185780784,0.344620044379396,0.956866075428942,0.97726382813903,0.0122107351363542,2.65593173970871e-05,0.00239868062316284,2.47350013456223
90,92680.8411969055,"Successful completion",0.00125655902960466,0.102986915636245,0.999999999738206,3.59874116071534,0.00841137846338311,0.2,4.11706763761295e-05,0.00212614594943703,2.49987802296195
91,69560.0956786576,"Successful completion",9.36893371986906e-05,0.924638453476068,0.860048474291026,3.30890990986984,0.902379967000358,0.0118533603505885,2.67493528969311e-05,0.00238985849814788,2.47615141737037
92,167210.965667394,"Successful completion",0.00990947289205193,0.283504377528676,0.919063201514372,2.40087061511227,0.00540671889681757,0.15066022556607,4.55831746400667e-05,0.00208395050167084,2.49868186748745
93,82353.672304419,"Successful completion",0.00223797194949041,0.992432527681748,0.478709807567163,1.81425079528101,0.0246842185318343,0.096036827777552,3.72990246110267e-05,0.00218849652402796,2.49467068245006
94,55232.4321696363,"Successful completion",0.000546493417457685,0.469265901955464,0.997955755036583,3.76430612126778,0.080451741241774,0.0190653927220146,3.2033461687875e-05,0.002279356472395,2.49698254070215
95,68703.6684465454,"Successful completion",0.000116874390162717,0.427660104093155,0.966034770036586,3.35647705849095,0.561020736913886,0.0113112164997652,2.74061148644816e-05,0.00236597301401297,2.4878450531114
96,98616.352817823,"Successful completion",0.00382199645799494,0.999937636604614,0.249562291456362,0.0109704516179043,0.00581920562208221,0.194881624118844,4.21354431737101e-05,0.0021160774983552,2.4974483911359
97,65518.1998805075,"Successful completion",0.000212275103425924,0.400999108949298,0.6450915576823,2.58035256100527,0.25517949268689,0.0168398481953265,2.86353051159399e-05,0.00233747457347407,2.49193608849829
98,65876.9239382704,"Successful completion",0.000313852488444417,0.996248565769553,0.540365749779144,2.38627260724027,0.1325631478262,0.00933588920201507,2.99062118217874e-05,0.0023280178691599,2.49721657662373
99,75167.9977239886,"Successful completion",0.00120344940776041,0.13266065965941,0.751223634516128,2.56522418136027,0.0332963440640025,0.0476286743696732,3.63884211627893e-05,0.00221282492388267,2.49902391451855
100,57425.2740002678,"Successful completion",0.000830859162491192,0.999890823362033,0.654587779719038,2.71466080904425,0.0758371199776433,0.0174445256384669,3.24462852185349e-05,0.00226785371185988,2.497023415299
101,143167.127547308,"Successful completion",2.66169989545506e-13,0.0229642553252659,7.81143580243157e-10,1654982.2007723,0.999998095168355,0.199898327263828,2.67750540428813e-05,0.00238338074692826,4.17644094580704
102,71385.0932631343,"Successful completion",0.00245169210107968,0.96313593250657,0.978617603114966,3.41093413479178,0.0246631305547259,0.0406584976996066,3.80012112512925e-05,0.00216968504809614,2.49775337209285
103,55646.8464471114,"Successful completion",0.000466851946489455,0.33905399003104,0.996476044641548,3.73028561572094,0.0760395337888714,0.021454038373097,3.22798246265619e-05,0.0022740313814887,2.49712448495307
