"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0","group"
63,63207.0570946695,"Successful completion",0.000172638808766357,0.510155738244305,0.895233599602137,3.42504437233265,0.288435108089552,0.0137542676855557,2.83775603982609e-05,0.00234761905271271,2.49202608470116,"seed123_n300"
64,65889.3662487682,"Successful completion",0.00190847942552479,0.956453551868506,0.65820224012868,2.4622309708712,0.0395161682034792,0.034733387792973,3.53245491929841e-05,0.00221975224718984,2.49692742912358,"seed123_n300"
65,95417.1555920553,"Successful completion",0.00341647500939369,0.7835655611938,0.895866884305435,3.2319428843294,0.00715711830122911,0.188394643894256,4.16470980882275e-05,0.00211492509378112,2.49705929411637,"seed123_n300"
66,95305.9452355874,"Successful completion",0.00311517934441441,0.458497056149002,0.934694552457127,3.35359081217984,0.00749522976470627,0.192352124004887,4.14869544832864e-05,0.00211926287215621,2.49718180533956,"seed123_n300"
67,72052.4779974225,"Successful completion",0.00232334208026081,0.996656895844016,0.937954186992513,3.39055936359662,0.0228983741351993,0.0451800428735252,3.88762931196243e-05,0.00214668857625826,2.49767313112041,"seed123_n300"
68,154261.34925851,"Successful completion",0.00992727387564649,0.930226947780086,0.401351915560073,0.407577330715279,0.00539794635381986,0.103969143973716,4.53008607560109e-05,0.00208267008594377,2.49874777909342,"seed123_n300"
69,72501.5574608401,"Successful completion",0.00126746712792614,0.983249574740538,0.269367973464617,0.493516986001758,0.0549647499209585,0.0519092110804277,3.32592733045843e-05,0.00226871744049292,2.49359250371174,"seed123_n300"
70,87258.3780189471,"Successful completion",6.0824068848559e-06,0.0340064614877034,0.923118802539137,2.74930061730654,0.982773299297341,0.0777955092011638,2.6709810080975e-05,0.00238826331369315,2.870926495609,"seed123_n300"
71,56465.9905250773,"Successful completion",0.000810849548994219,0.926188893345825,0.786458093081589,3.14596448188966,0.0750061075393496,0.0168540291379201,3.24876303682432e-05,0.00226544221045528,2.49718083716843,"seed123_n300"
72,294535.861743583,"Successful completion",7.93127109613584e-05,0.820610368110253,0.0231346838446075,444592.367756017,0.0562426537346319,0.0598058939656803,3.3280102266981e-05,0.00224753535025044,2.49261563243729,"seed123_n300"
73,98226.2070395358,"Successful completion",0.00428545735334987,0.909793933905852,0.936371546850704,3.17892439171316,0.00549705930475572,0.197750134083092,4.26860334811096e-05,0.00209683200033194,2.49758109562493,"seed123_n300"
74,75269.5694137106,"Successful completion",1.78400039483788e-05,0.349491127390457,0.604887691534814,2.33359899729174,0.93648828681217,0.0106910624300358,2.69230877089839e-05,0.00237746201359936,2.48213174363641,"seed123_n300"
75,55302.8389461334,"Successful completion",0.000796647225513969,0.958021190241097,0.958561034459556,3.65265159273421,0.0802548070067172,0.0180076159168868,3.19306681552581e-05,0.00228769751728692,2.49676413659298,"seed123_n300"
76,73621.3963351378,"Successful completion",8.04815373062419e-05,0.281112115661419,0.989674542559944,3.52006934810671,0.983009667036703,0.0242027696994523,2.63950099449687e-05,0.00241847526361951,2.46167953186934,"seed123_n300"
77,55524.7599847885,"Successful completion",0.000860255944948941,0.989614573256848,0.994220283591665,3.8094466688034,0.0720211737445514,0.0212887205234903,3.21064539060436e-05,0.00228132818769076,2.49655423567178,"seed123_n300"
78,299615.219663359,"Successful completion",2.64716739960188e-18,1,7.9683595474242e-05,0.00872370103611427,0.0514155387299838,0.0338285951295491,3.37551111448139e-05,0.00223911486370496,2.49608654025311,"seed123_n300"
79,62633.6926902733,"Successful completion",0.00112727031061398,0.998730287334115,0.287210196743929,0.566109833211582,0.0587527666843841,0.0207029485766523,3.33003446338588e-05,0.00225566288110242,2.49726358670471,"seed123_n300"
80,69811.0344749486,"Successful completion",0.000158163797675745,0.962911074242729,0.684615015382581,2.68407250115517,0.558625674612996,0.0134622762520715,2.72517864833077e-05,0.00237304176756345,2.48315157689565,"seed123_n300"
81,63151.4888622295,"Successful completion",0.00109497237193707,0.99982354605564,0.322526408829227,0.981404797010554,0.0550467365579989,0.0267723516974789,3.33703879158525e-05,0.00224617455172432,2.49668417119328,"seed123_n300"
82,85767.0841080138,"Successful completion",0.00321763893500088,0.952935583017423,0.872928799039503,3.1461334661975,0.0136988219395527,0.0887639493599129,3.97048879403424e-05,0.00217403475309883,2.49727910028518,"seed123_n300"
83,56324.4422994574,"Successful completion",0.000532975458504522,0.994105801430059,0.99921107389747,3.82558144902907,0.103439259473454,0.0127646539827746,3.09019615757843e-05,0.00230411735075895,2.49703113286159,"seed123_n300"
84,159173.450708572,"Successful completion",0.00997816758921086,0.677664675404191,0.9010891701621,2.39672955015597,0.00451644405112189,0.132318336490183,4.52198944186409e-05,0.0020775327591468,2.49872644519494,"seed123_n300"
85,69379.4724961585,"Successful completion",0.000107818422586541,0.980035890490192,0.975903558212803,3.67119615912055,0.862587920054835,0.0177500710318184,2.70066003283072e-05,0.00238124841172953,2.4656282313744,"seed123_n300"
86,59676.2431842654,"Successful completion",0.000315544695225286,0.627759636879466,0.745225611945361,3.08905073576082,0.127257301363284,0.0132759157757051,3.0332735148176e-05,0.00230524708412319,2.49644916910154,"seed123_n300"
87,97188.3684123689,"Successful completion",0.00346730348381142,0.905618116469612,0.616853357517262,2.32378939366008,0.00453426488166474,0.186023504448376,4.24240630916386e-05,0.00210364785155331,2.49812414683864,"seed123_n300"
88,60635.035917006,"Successful completion",0.000971789808348494,0.997513213509633,0.389742926479901,1.35061670892845,0.0687243667803129,0.0192979556340587,3.27891721777231e-05,0.00225768388142941,2.49701678706682,"seed123_n300"
89,86532.37280408,"Successful completion",0.000141836090143652,0.034449656765116,0.908112732613786,3.20862776512887,0.0196609666061051,0.199990281005564,3.88325969108977e-05,0.0021717411019344,2.51870440233653,"seed123_n300"
90,74358.2196299562,"Successful completion",5.65861732572589e-05,0.947498156756982,0.964659336324415,3.79266850135705,0.416447440558407,0.00602285460585962,2.8068630845742e-05,0.00234589659517545,2.49439129014844,"seed123_n300"
91,303886.226231028,"Successful completion",4.68295018459103e-05,0.678326603791205,0.469441710867104,55.0413008584659,0.0892775169402144,0.0612831765471172,3.11027969893907e-05,0.00229299210357089,2.48833841182375,"seed123_n300"
92,99645.3976758465,"Successful completion",0.00432737889284048,0.856875070140976,0.441664291017089,1.30019964926227,0.00385542611929833,0.19999992633941,4.31283235957098e-05,0.00209300761948696,2.49829725770919,"seed123_n300"
93,67938.969473215,"Successful completion",5.75318773391116e-05,0.40093111729392,0.996377111839778,3.61993544033962,0.871247584616031,0.0138086187257134,2.69236523768009e-05,0.00238101267387185,2.47742492678853,"seed123_n300"
94,96310.5018835758,"Successful completion",0.0035053239743387,0.987623900535904,0.977348863164969,3.46541999094319,0.0063517013262397,0.199999993378881,4.18614978971684e-05,0.0021143626317424,2.49714571421544,"seed123_n300"
95,93271.4098149395,"Successful completion",0.00291827817387762,0.919958579478738,0.909293653875921,3.39769394428271,0.0106828729294093,0.164264538744685,4.06178683805945e-05,0.00212690458413661,2.49608983098285,"seed123_n300"
96,67654.3453104531,"Successful completion",0.000252682951877827,0.998389065964923,0.642004098015519,2.54517923327894,0.3435154601587,0.0151690518896892,2.79193448986448e-05,0.00236503619749566,2.48827779331129,"seed123_n300"
