"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
107,59957.7752940413,"Successful completion",0.000298197679998645,0.979329867078427,0.821383431563651,2.79272633434825,0.0510483657310989,0.0117636006292828,3.35898402599398e-05,0.00224258555298532,2.4986520153442
108,67752.0035238649,"Successful completion",0.00104487678893816,0.993131649586709,0.829694215924483,2.74375506900052,0.0370341488954026,0.0672200769276073,3.45541420846098e-05,0.00222347468074357,2.49440306788627
109,52677.1619194316,"Successful completion",0.000460401560497492,0.72391798235142,0.987989007438906,3.1349186738962,0.0796686252981686,0.0201520611930344,3.16754776813912e-05,0.00228084875484955,2.49654072615356
110,76475.8217240201,"Successful completion",7.47294418977136e-05,0.917140339536132,0.459126246903957,1.02899366803242,0.883140857863886,0.011445441709547,2.66790036237214e-05,0.00239427942866382,2.47748544337291
111,81974.9050259926,"Successful completion",0.00169456672398835,0.983726681747218,0.999456057714807,3.10557650700183,0.0203295686804798,0.119719092614347,3.76734268279029e-05,0.00217255823008484,2.49453393104116
112,55102.3263154843,"Successful completion",0.000473372167536835,0.468784835028541,0.877786820254346,2.86623152334271,0.0657605454911613,0.0310051550886126,3.23283446906241e-05,0.00227812011229396,2.49599005123494
113,78333.035871669,"Successful completion",3.93396957987794e-08,0.993403312009218,0.271282706384234,0.000609769922000239,0.0554420414878223,0.00727002547232967,3.30427602018111e-05,0.00225927943254754,2.49909377276652
114,84529.1863111685,"Successful completion",0.00231516268967402,0.976432369872048,0.735880483818014,2.23266516398348,0.0127694673741624,0.12566133802597,3.93188678441184e-05,0.00215621573969337,2.49639926871459
115,66342.556864542,"Successful completion",0.00119518572974067,0.906739640526759,0.689164388011036,2.22322959202732,0.0322216819096728,0.0613899808404796,3.56884478090717e-05,0.00220453669348951,2.49560016381295
116,65255.2404639857,"Successful completion",0.000940532197281774,0.388209906185727,0.972834146308474,3.09484535362601,0.0295132341647487,0.0596330604309635,3.63271246057405e-05,0.00218865903843138,2.49673347338277
117,85343.9436750082,"Successful completion",0.000212574174134649,0.0494847394657991,0.672833091281664,2.07378701470357,0.0215071036607495,0.199999997777026,3.72977393870505e-05,0.00218529707398023,2.51097749472273
118,81524.294688115,"Successful completion",0.00179704833907737,0.951762209065252,0.348566454052432,0.457258292423431,0.0195846291025251,0.106690723664375,3.75577260289219e-05,0.00218443828710912,2.49532510423899
119,66641.3846736316,"Successful completion",9.67077665234247e-05,0.864987931774523,0.738462164625358,2.29251010403879,0.578417850642978,0.0134619471959093,2.70521120240918e-05,0.00238274592377747,2.48278392625288
120,52926.6618282148,"Successful completion",0.000587922079797157,0.98057709610895,0.990585227123254,3.16034464012205,0.0697626242122477,0.0215377703013707,3.25035839508803e-05,0.00225676897983289,2.49662674479891
121,84667.3707377723,"Successful completion",0.00185639004342968,0.418352515542216,0.863480827749569,2.68472454784773,0.00966312119388838,0.13640563291788,3.99773982749112e-05,0.00214493613676685,2.49749241512683
122,200711.530938904,"Successful completion",0.00971785254182949,0.952952567647942,0.778441147367937,1.73122070742102,0.00411878329542693,0.15112628252757,4.560595131771e-05,0.00211794692670447,2.49860715577707
123,206222.580395169,"Successful completion",0.00998205431089791,0.921617829971259,0.743197876608679,1.60209714285727,0.00457440676780969,0.13313267266909,4.60770925066805e-05,0.00208826488378787,2.49864269194315
124,212650.483510609,"Successful completion",0.00987952932944385,0.662448578170234,0.972943267447069,2.26790871432521,0.00444488661827283,0.140247904235042,4.63647151980748e-05,0.0020792664434386,2.49867679319067
125,72816.9806698669,"Successful completion",0.001113366522623,0.485709740903107,0.287652042781005,0.0273338144767977,0.0319937052208425,0.0682022690569703,3.54589774580274e-05,0.00221580090958969,2.49566801279774
126,80495.5628166382,"Successful completion",0.00192792021968291,0.903930498482585,0.914667887156514,2.86399007239044,0.0112478583738256,0.102511308862913,3.97416677834703e-05,0.00214359639568547,2.49743631246591
127,57828.7889349799,"Successful completion",0.000748440119237893,0.986230685596036,0.461753883411731,1.16106179980138,0.0570377299855514,0.0190035498136592,3.32052288365758e-05,0.00225720008366046,2.49756496477817
128,53700.8864202078,"Successful completion",0.000641654974841856,0.994818618940994,0.996148667505482,3.2050836225209,0.0625666758069614,0.0271112217985604,3.25406095056435e-05,0.00226898897912647,2.49618562587888
129,127943.335233553,"Successful completion",0.000113994547023379,0.999983948528024,0.585494264985302,1.94263468630903,0.000844597633352163,0.192164978932805,4.23572508770682e-05,0.00210346799710786,2.49963482095686
130,71762.0029093907,"Successful completion",0.00102457546891802,0.993013628337106,0.874303241257568,2.97850862664084,0.029859676196057,0.0762207787272688,3.5524149061028e-05,0.00220304263798433,2.49488316559891
131,91039.1947134168,"Successful completion",0.00231291187341799,0.999740430428611,0.927329290274175,2.88337404756907,0.00672038523555109,0.1996968817518,4.06264179801071e-05,0.00213337375664874,2.49698049716545
132,193959.277699227,"Successful completion",0.01,0.999997457138804,0.384409483062954,5.92140742444307e-17,0.00316987262493663,0.199238347555299,4.65457188258623e-05,0.00207788849633033,2.49857898998805
133,82509.8554411665,"Successful completion",0.0012243713085823,0.33183683115418,0.978962230374736,3.05277566272137,0.00929435967379137,0.0992071021426717,4.08463705709861e-05,0.00210845790178106,2.49838950236252
134,52936.3145698404,"Successful completion",0.000524251173572428,0.995082283052491,0.928248435405489,3.03691824795068,0.0687360918435042,0.0194639587555273,3.21672212191366e-05,0.00227996116769635,2.49699143092571
135,205693.217994235,"Successful completion",0.00976811572442341,0.692551566191568,0.818402448409502,1.84475590981186,0.00482181228836527,0.149641861935308,4.61616030207984e-05,0.00208005434019918,2.49845660373114
136,52478.7121084642,"Successful completion",0.000509560030493811,0.998539103307415,0.994546642627153,3.17008993413153,0.0744565716494482,0.0175886156402694,3.19252604089705e-05,0.00227972887419407,2.49705390594653
137,55899.124932373,"Successful completion",9.28289883452591e-05,0.202820965520486,0.931042564947091,2.92015983303155,0.0709153958751098,0.0299820875408543,3.23725411395056e-05,0.00227036683120423,2.49730529492643
138,90099.8853223266,"Successful completion",0.00214626280123126,0.768294688986664,0.953952845622836,2.97498747926754,0.00654764191929319,0.18854376144772,4.08760446896475e-05,0.00212776875779529,2.49731541428537
139,84682.7048090474,"Successful completion",0.00224599973057744,0.987369740906359,0.426232724412755,0.931648873645133,0.00935004561020254,0.125759986302874,4.06189945596963e-05,0.00212458190842746,2.49735807173572
140,89930.3937473913,"Successful completion",0.00127452138515461,0.209555340490313,0.988383725223116,3.08572133594964,0.00773864629136612,0.198699007911137,4.05362346066791e-05,0.00212452295509981,2.49799028014102
141,52834.3794868979,"Successful completion",0.000536421723250131,0.921325161465031,0.906531003421856,2.92745632216392,0.0718405966004461,0.0194270196834301,3.19914200210968e-05,0.0022816395074579,2.49688958516259
142,199505.843405023,"Successful completion",0.00999623500384788,0.765646371930143,0.49533241593716,0.620125265110199,0.00303768666041662,0.184913549471978,4.69876851033605e-05,0.00206572546335033,2.49877913664547
143,81940.2734131524,"Successful completion",8.74522859036158e-05,0.962648656571284,0.335457180543273,0.243710846574793,0.745628461827191,0.0113427061864411,2.6739683032682e-05,0.00240084389350792,2.48105278820125
144,53903.8870540325,"Successful completion",0.000635009483343628,0.999918672080669,0.773317414151212,2.52735931484085,0.0626792871564987,0.0212761880828946,3.23419258579683e-05,0.00227571019454251,2.49699948043595
